Mon Oct  8 12:17:11 2018

******************************************************************************

System Information

Total Number of Atoms = 4841
Number of atom types = 5
Atom type 0 has symbol S
Atom type 1 has symbol Cd
Atom type 2 has symbol Se
Atom type 3 has symbol P2
Atom type 4 has symbol P1

******************************************************************************

Nanocrystal Bond Statistics [Angstroms]


******************************************************************************

S atom 0 with the number of bonds = 4
Bond 0 with neighbor Cd has length = 2.5361
Bond 1 with neighbor Cd has length = 2.5361
Bond 2 with neighbor Cd has length = 2.5236
Bond 3 with neighbor P2 has length = 0.7612

Cd atom 1 with the number of bonds = 4
Bond 0 with neighbor S has length = 2.5361
Bond 1 with neighbor S has length = 2.5362
Bond 2 with neighbor P1 has length = 1.3898
Bond 3 with neighbor P1 has length = 1.3953

S atom 2 with the number of bonds = 4
Bond 0 with neighbor Cd has length = 2.5362
Bond 1 with neighbor Cd has length = 2.5329
Bond 2 with neighbor Cd has length = 2.5264
Bond 3 with neighbor P2 has length = 0.7602

Cd atom 3 with the number of bonds = 4
Bond 0 with neighbor S has length = 2.5361
Bond 1 with neighbor S has length = 2.5362
Bond 2 with neighbor P1 has length = 1.3898
Bond 3 with neighbor P1 has length = 1.3953

S atom 4 with the number of bonds = 4
Bond 0 with neighbor Cd has length = 2.5362
Bond 1 with neighbor Cd has length = 2.5329
Bond 2 with neighbor Cd has length = 2.5264
Bond 3 with neighbor P2 has length = 0.7602

Cd atom 5 with the number of bonds = 4
Bond 0 with neighbor S has length = 2.5329
Bond 1 with neighbor S has length = 2.5329
Bond 2 with neighbor P1 has length = 1.3887
Bond 3 with neighbor P1 has length = 1.3923

Se atom 6 with the number of bonds = 4
Bond 0 with neighbor Cd has length = 2.6526
Bond 1 with neighbor Cd has length = 2.6526
Bond 2 with neighbor Cd has length = 2.6467
Bond 3 with neighbor P2 has length = 0.7972

Cd atom 7 with the number of bonds = 4
Bond 0 with neighbor Se has length = 2.6526
Bond 1 with neighbor Se has length = 2.6570
Bond 2 with neighbor P1 has length = 1.4550
Bond 3 with neighbor P1 has length = 1.4598

Se atom 8 with the number of bonds = 4
Bond 0 with neighbor Cd has length = 2.6570
Bond 1 with neighbor Cd has length = 2.6571
